case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,resource_notes
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,,,0.12,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,1,CONFIG_FPP,1.92e-06,3.2e-06,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,3.2e-06,4.52e-06,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
3d_stack_m1_example,mem_die2_sram,memory,die2,F_mem_die2_sram_lane2,F,0,CONFIG_ACCESS_PATH,4.52e-06,9e-06,4.48e-06,True,0,,,,0.1,thermal_die2,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,3,FPP_SHIFT_IN,4.52e-06,0.00077252,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.0299999999999998,thermal_die0,
3d_stack_m1_example,mem_die2_sram,memory,die2,F_mem_die2_sram_lane2,F,1,CONFIG_FPP,9e-06,1.028e-05,1.28e-06,True,0,fpp_ch0,,,0.1,thermal_die2,
3d_stack_m1_example,mem_die2_sram,memory,die2,F_mem_die2_sram_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,1.028e-05,1.192e-05,1.64e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,0.1,thermal_die2,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,1.192e-05,1.512e-05,3.2e-06,True,0,,,,0.0,thermal_die1,
3d_stack_m1_example,mem_die2_sram,memory,die2,F_mem_die2_sram_lane2,F,3,FPP_SHIFT_IN,1.192e-05,0.00026792,0.000256,False,2,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,0.86,thermal_die2,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,0,CONFIG_ACCESS_PATH,1.512e-05,1.832e-05,3.2e-06,True,0,,,,0.05,thermal_die1,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,1,ACCESS_INSTRUMENT,1.832e-05,1.864e-05,3.2e-07,True,0,,,,0.05,thermal_die1,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,2,READ_INSTRUMENT,1.864e-05,1.928e-05,6.4e-07,True,0,,,,0.05,thermal_die1,
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,1.928e-05,2.376e-05,4.48e-06,True,0,,,,0.0,thermal_die2,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,2.3761e-05,2.9521e-05,5.76e-06,True,0,,,,0.0,thermal_die3,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,0,CONFIG_ACCESS_PATH,2.9521e-05,3.2721e-05,3.2e-06,True,0,,,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,1,CONFIG_FPP,3.2721e-05,3.4001e-05,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,3.4001e-05,3.5641e-05,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
3d_stack_m1_example,core_die3_accel,core,die3,F_core_die3_accel_lane2,F,0,CONFIG_ACCESS_PATH,3.5641e-05,4.1401e-05,5.76e-06,True,0,,,,0.16,thermal_die3,
